,Class,Word
0,0,thot                          
1,0,tthot                         
2,0,ttthot                        
3,0,tttthot                       
4,0,ttttthot                      
5,0,tttttthot                     
6,0,ttttttthot                    
7,0,tttttttthot                   
8,0,ttttttttthot                  
9,0,tttttttttthot                 
10,0,ttttttttttthot                
11,0,tttttttttttthot               
12,0,ttttttttttttthot              
13,0,tttttttttttttthot             
14,0,ttttttttttttttthot            
15,0,thhot                         
16,0,thhhot                        
17,0,thhhhot                       
18,0,thhhhhot                      
19,0,thhhhhhot                     
20,0,thhhhhhhot                    
21,0,thhhhhhhhot                   
22,0,thhhhhhhhhot                  
23,0,thhhhhhhhhhot                 
24,0,thhhhhhhhhhhot                
25,0,thhhhhhhhhhhhot               
26,0,thhhhhhhhhhhhhot              
27,0,thhhhhhhhhhhhhhot             
28,0,thhhhhhhhhhhhhhhot            
29,0,thoot                         
30,0,thooot                        
31,0,thoooot                       
32,0,thooooot                      
33,0,thoooooot                     
34,0,thooooooot                    
35,0,thoooooooot                   
36,0,thooooooooot                  
37,0,thoooooooooot                 
38,0,thooooooooooot                
39,0,thoooooooooooot               
40,0,thooooooooooooot              
41,0,thoooooooooooooot             
42,0,thooooooooooooooot            
43,0,thott                         
44,0,thottt                        
45,0,thotttt                       
46,0,thottttt                      
47,0,thotttttt                     
48,0,thottttttt                    
49,0,thotttttttt                   
50,0,thottttttttt                  
51,0,thotttttttttt                 
52,0,thottttttttttt                
53,0,thotttttttttttt               
54,0,thottttttttttttt              
55,0,thotttttttttttttt             
56,0,thottttttttttttttt            
57,0,thought                       
58,0,tthought                      
59,0,ttthought                     
60,0,tttthought                    
61,0,ttttthought                   
62,0,tttttthought                  
63,0,ttttttthought                 
64,0,tttttttthought                
65,0,ttttttttthought               
66,0,tttttttttthought              
67,0,ttttttttttthought             
68,0,tttttttttttthought            
69,0,ttttttttttttthought           
70,0,tttttttttttttthought          
71,0,ttttttttttttttthought         
72,0,thhought                      
73,0,thhhought                     
74,0,thhhhought                    
75,0,thhhhhought                   
76,0,thhhhhhought                  
77,0,thhhhhhhought                 
78,0,thhhhhhhhought                
79,0,thhhhhhhhhought               
80,0,thhhhhhhhhhought              
81,0,thhhhhhhhhhhought             
82,0,thhhhhhhhhhhhought            
83,0,thhhhhhhhhhhhhought           
84,0,thhhhhhhhhhhhhhought          
85,0,thhhhhhhhhhhhhhhought         
86,0,thoought                      
87,0,thooought                     
88,0,thoooought                    
89,0,thooooought                   
