,Class,Word
0,0,you                           
1,0,yyou                          
2,0,yyyou                         
3,0,yyyyou                        
4,0,yyyyyou                       
5,0,yyyyyyou                      
6,0,yyyyyyyou                     
7,0,yyyyyyyyou                    
8,0,yyyyyyyyyou                   
9,0,yyyyyyyyyyou                  
10,0,yyyyyyyyyyyou                 
11,0,yyyyyyyyyyyyou                
12,0,yyyyyyyyyyyyyou               
13,0,yyyyyyyyyyyyyyou              
14,0,yyyyyyyyyyyyyyyou             
15,0,yoou                          
16,0,yooou                         
17,0,yoooou                        
18,0,yooooou                       
19,0,yoooooou                      
20,0,yooooooou                     
21,0,yoooooooou                    
22,0,yooooooooou                   
23,0,yoooooooooou                  
24,0,yooooooooooou                 
25,0,yoooooooooooou                
26,0,yooooooooooooou               
27,0,yoooooooooooooou              
28,0,yooooooooooooooou             
29,0,youu                          
30,0,youuu                         
31,0,youuuu                        
32,0,youuuuu                       
33,0,youuuuuu                      
34,0,youuuuuuu                     
35,0,youuuuuuuu                    
36,0,youuuuuuuuu                   
37,0,youuuuuuuuuu                  
38,0,youuuuuuuuuuu                 
39,0,youuuuuuuuuuuu                
40,0,youuuuuuuuuuuuu               
41,0,youuuuuuuuuuuuuu              
42,0,youuuuuuuuuuuuuuu             
43,0,yu                            
44,0,yyu                           
45,0,yyyu                          
46,0,yyyyu                         
47,0,yyyyyu                        
48,0,yyyyyyu                       
49,0,yyyyyyyu                      
50,0,yyyyyyyyu                     
51,0,yyyyyyyyyu                    
52,0,yyyyyyyyyyu                   
53,0,yyyyyyyyyyyu                  
54,0,yyyyyyyyyyyyu                 
55,0,yyyyyyyyyyyyyu                
56,0,yyyyyyyyyyyyyyu               
57,0,yyyyyyyyyyyyyyyu              
58,0,yuu                           
59,0,yuuu                          
60,0,yuuuu                         
61,0,yuuuuu                        
62,0,yuuuuuu                       
63,0,yuuuuuuu                      
64,0,yuuuuuuuu                     
65,0,yuuuuuuuuu                    
66,0,yuuuuuuuuuu                   
67,0,yuuuuuuuuuuu                  
68,0,yuuuuuuuuuuuu                 
69,0,yuuuuuuuuuuuuu                
70,0,yuuuuuuuuuuuuuu               
71,0,yuuuuuuuuuuuuuuu              
72,2,yukon                         
73,2,yyukon                        
74,2,yyyukon                       
75,2,yyyyukon                      
76,2,yyyyyukon                     
77,2,yyyyyyukon                    
78,2,yyyyyyyukon                   
79,2,yyyyyyyyukon                  
80,2,yyyyyyyyyukon                 
81,2,yyyyyyyyyyukon                
82,2,yyyyyyyyyyyukon               
83,2,yyyyyyyyyyyyukon              
84,2,yyyyyyyyyyyyyukon             
85,2,yyyyyyyyyyyyyyukon            
86,2,yyyyyyyyyyyyyyyukon           
87,2,yuukon                        
88,2,yuuukon                       
89,2,yuuuukon                      
90,2,yuuuuukon                     
91,2,yuuuuuukon                    
92,2,yuuuuuuukon                   
93,2,yuuuuuuuukon                  
94,2,yuuuuuuuuukon                 
95,2,yuuuuuuuuuukon                
96,2,yuuuuuuuuuuukon               
97,2,yuuuuuuuuuuuukon              
98,2,yuuuuuuuuuuuuukon             
99,2,yuuuuuuuuuuuuuukon            
100,2,yuuuuuuuuuuuuuuukon           
101,2,yukkon                        
102,2,yukkkon                       
103,2,yukkkkon                      
104,2,yukkkkkon                     
105,2,yukkkkkkon                    
106,2,yukkkkkkkon                   
107,2,yukkkkkkkkon                  
108,2,yukkkkkkkkkon                 
109,2,yukkkkkkkkkkon                
110,2,yukkkkkkkkkkkon               
111,2,yukkkkkkkkkkkkon              
112,2,yukkkkkkkkkkkkkon             
113,2,yukkkkkkkkkkkkkkon            
114,2,yukkkkkkkkkkkkkkkon           
115,2,yukoon                        
116,2,yukooon                       
117,2,yukoooon                      
118,2,yukooooon                     
119,2,yukoooooon                    
120,2,yukooooooon                   
121,2,yukoooooooon                  
122,2,yukooooooooon                 
123,2,yukoooooooooon                
124,2,yukooooooooooon               
125,2,yukoooooooooooon              
126,2,yukooooooooooooon             
127,2,yukoooooooooooooon            
128,2,yukooooooooooooooon           
129,2,yukonn                        
130,2,yukonnn                       
131,2,yukonnnn                      
132,2,yukonnnnn                     
133,2,yukonnnnnn                    
134,2,yukonnnnnnn                   
135,2,yukonnnnnnnn                  
136,2,yukonnnnnnnnn                 
137,2,yukonnnnnnnnnn                
138,2,yukonnnnnnnnnnn               
139,2,yukonnnnnnnnnnnn              
140,2,yukonnnnnnnnnnnnn             
141,2,yukonnnnnnnnnnnnnn            
142,2,yukonnnnnnnnnnnnnnn           
143,2,ureka                         
144,2,uureka                        
145,2,uuureka                       
146,2,uuuureka                      
147,2,uuuuureka                     
148,2,uuuuuureka                    
149,2,uuuuuuureka                   
150,2,uuuuuuuureka                  
151,2,uuuuuuuuureka                 
152,2,uuuuuuuuuureka                
153,2,uuuuuuuuuuureka               
154,2,uuuuuuuuuuuureka              
155,2,uuuuuuuuuuuuureka             
156,2,uuuuuuuuuuuuuureka            
157,2,uuuuuuuuuuuuuuureka           
158,2,urreka                        
159,2,urrreka                       
160,2,urrrreka                      
161,2,urrrrreka                     
162,2,urrrrrreka                    
163,2,urrrrrrreka                   
164,2,urrrrrrrreka                  
165,2,urrrrrrrrreka                 
166,2,urrrrrrrrrreka                
167,2,urrrrrrrrrrreka               
168,2,urrrrrrrrrrrreka              
169,2,urrrrrrrrrrrrreka             
170,2,urrrrrrrrrrrrrreka            
171,2,urrrrrrrrrrrrrrreka           
172,2,ureeka                        
173,2,ureeeka                       
174,2,ureeeeka                      
175,2,ureeeeeka                     
176,2,ureeeeeeka                    
177,2,ureeeeeeeka                   
178,2,ureeeeeeeeka                  
179,2,ureeeeeeeeeka                 
180,2,ureeeeeeeeeeka                
181,2,ureeeeeeeeeeeka               
182,2,ureeeeeeeeeeeeka              
183,2,ureeeeeeeeeeeeeka             
184,2,ureeeeeeeeeeeeeeka            
185,2,ureeeeeeeeeeeeeeeka           
186,2,urekka                        
187,2,urekkka                       
188,2,urekkkka                      
189,2,urekkkkka                     
190,2,urekkkkkka                    
191,2,urekkkkkkka                   
192,2,urekkkkkkkka                  
