,Class,Word
0,0,actually                      
1,0,aactually                     
2,0,aaactually                    
3,0,aaaactually                   
4,0,aaaaactually                  
5,0,aaaaaactually                 
6,0,aaaaaaactually                
7,0,aaaaaaaactually               
8,0,aaaaaaaaactually              
9,0,aaaaaaaaaactually             
10,0,aaaaaaaaaaactually            
11,0,aaaaaaaaaaaactually           
12,0,aaaaaaaaaaaaactually          
13,0,aaaaaaaaaaaaaactually         
14,0,aaaaaaaaaaaaaaactually        
15,0,acctually                     
16,0,accctually                    
17,0,acccctually                   
18,0,accccctually                  
19,0,acccccctually                 
20,0,accccccctually                
21,0,acccccccctually               
22,0,accccccccctually              
23,0,acccccccccctually             
24,0,accccccccccctually            
25,0,acccccccccccctually           
26,0,accccccccccccctually          
27,0,acccccccccccccctually         
28,0,accccccccccccccctually        
29,0,acttually                     
30,0,actttually                    
31,0,acttttually                   
32,0,actttttually                  
33,0,acttttttually                 
34,0,actttttttually                
35,0,acttttttttually               
36,0,actttttttttually              
37,0,acttttttttttually             
38,0,actttttttttttually            
39,0,acttttttttttttually           
40,0,actttttttttttttually          
41,0,acttttttttttttttually         
42,0,actttttttttttttttually        
43,0,actuually                     
44,0,actuuually                    
45,0,actuuuually                   
46,0,actuuuuually                  
47,0,actuuuuuually                 
48,0,actuuuuuuually                
49,0,actuuuuuuuually               
50,0,actuuuuuuuuually              
51,0,actuuuuuuuuuually             
52,0,actuuuuuuuuuuually            
53,0,actuuuuuuuuuuuually           
54,0,actuuuuuuuuuuuuually          
55,0,actuuuuuuuuuuuuuually         
56,0,actuuuuuuuuuuuuuuually        
57,0,actuaally                     
58,0,actuaaally                    
59,0,actuaaaally                   
60,0,actuaaaaally                  
61,0,actuaaaaaally                 
62,0,actuaaaaaaally                
63,0,actuaaaaaaaally               
64,0,actuaaaaaaaaally              
65,0,actuaaaaaaaaaally             
66,0,actuaaaaaaaaaaally            
67,0,actuaaaaaaaaaaaally           
68,0,actuaaaaaaaaaaaaally          
69,0,actuaaaaaaaaaaaaaally         
70,0,actuaaaaaaaaaaaaaaally        
71,0,actuallly                     
72,0,actualllly                    
73,0,actuallllly                   
74,0,actualllllly                  
75,0,actuallllllly                 
76,0,actualllllllly                
77,0,actuallllllllly               
78,0,actualllllllllly              
79,0,actuallllllllllly             
80,0,actualllllllllllly            
81,0,actuallllllllllllly           
82,0,actualllllllllllllly          
83,0,actuallllllllllllllly         
84,0,actualllllllllllllllly        
85,0,actuallly                     
86,0,actualllly                    
87,0,actuallllly                   
88,0,actualllllly                  
89,0,actuallllllly                 
90,0,actualllllllly                
91,0,actuallllllllly               
92,0,actualllllllllly              
93,0,actuallllllllllly             
94,0,actualllllllllllly            
95,0,actuallllllllllllly           
96,0,actualllllllllllllly          
97,0,actuallllllllllllllly         
98,0,actualllllllllllllllly        
99,0,actuallyy                     
100,0,actuallyyy                    
101,0,actuallyyyy                   
102,0,actuallyyyyy                  
103,0,actuallyyyyyy                 
104,0,actuallyyyyyyy                
105,0,actuallyyyyyyyy               
106,0,actuallyyyyyyyyy              
107,0,actuallyyyyyyyyyy             
