,Class,Word
0,0,don't                         
1,0,ddon't                        
2,0,dddon't                       
3,0,ddddon't                      
4,0,dddddon't                     
5,0,ddddddon't                    
6,0,dddddddon't                   
7,0,ddddddddon't                  
8,0,dddddddddon't                 
9,0,ddddddddddon't                
10,0,dddddddddddon't               
11,0,ddddddddddddon't              
12,0,dddddddddddddon't             
13,0,ddddddddddddddon't            
14,0,dddddddddddddddon't           
15,0,doon't                        
16,0,dooon't                       
17,0,doooon't                      
18,0,dooooon't                     
19,0,doooooon't                    
20,0,dooooooon't                   
21,0,doooooooon't                  
22,0,dooooooooon't                 
23,0,doooooooooon't                
24,0,dooooooooooon't               
25,0,doooooooooooon't              
26,0,dooooooooooooon't             
27,0,doooooooooooooon't            
28,0,dooooooooooooooon't           
29,0,donn't                        
30,0,donnn't                       
31,0,donnnn't                      
32,0,donnnnn't                     
33,0,donnnnnn't                    
34,0,donnnnnnn't                   
35,0,donnnnnnnn't                  
36,0,donnnnnnnnn't                 
37,0,donnnnnnnnnn't                
38,0,donnnnnnnnnnn't               
39,0,donnnnnnnnnnnn't              
40,0,donnnnnnnnnnnnn't             
41,0,donnnnnnnnnnnnnn't            
42,0,donnnnnnnnnnnnnnn't           
43,0,don''t                        
44,0,don'''t                       
45,0,don''''t                      
46,0,don'''''t                     
47,0,don''''''t                    
48,0,don'''''''t                   
49,0,don''''''''t                  
50,0,don'''''''''t                 
51,0,don''''''''''t                
52,0,don'''''''''''t               
53,0,don''''''''''''t              
54,0,don'''''''''''''t             
55,0,don''''''''''''''t            
56,0,don'''''''''''''''t           
57,0,don'tt                        
58,0,don'ttt                       
59,0,don'tttt                      
60,0,don'ttttt                     
61,0,don'tttttt                    
62,0,don'ttttttt                   
63,0,don'tttttttt                  
64,0,don'ttttttttt                 
65,0,don'tttttttttt                
66,0,don'ttttttttttt               
67,0,don'tttttttttttt              
68,0,don'ttttttttttttt             
69,0,don'tttttttttttttt            
70,0,don'ttttttttttttttt           
71,0,dont                          
72,0,ddont                         
73,0,dddont                        
74,0,ddddont                       
75,0,dddddont                      
76,0,ddddddont                     
77,0,dddddddont                    
78,0,ddddddddont                   
79,0,dddddddddont                  
80,0,ddddddddddont                 
81,0,dddddddddddont                
82,0,ddddddddddddont               
83,0,dddddddddddddont              
84,0,ddddddddddddddont             
85,0,dddddddddddddddont            
86,0,doont                         
87,0,dooont                        
88,0,doooont                       
89,0,dooooont                      
90,0,doooooont                     
91,0,dooooooont                    
92,0,doooooooont                   
93,0,dooooooooont                  
94,0,doooooooooont                 
95,0,dooooooooooont                
96,0,doooooooooooont               
97,0,dooooooooooooont              
98,0,doooooooooooooont             
99,0,dooooooooooooooont            
100,0,donnt                         
101,0,donnnt                        
102,0,donnnnt                       
103,0,donnnnnt                      
104,0,donnnnnnt                     
105,0,donnnnnnnt                    
106,0,donnnnnnnnt                   
107,0,donnnnnnnnnt                  
108,0,donnnnnnnnnnt                 
109,0,donnnnnnnnnnnt                
110,0,donnnnnnnnnnnnt               
111,0,donnnnnnnnnnnnnt              
112,0,donnnnnnnnnnnnnnt             
113,0,donnnnnnnnnnnnnnnt            
114,0,dontt                         
115,0,donttt                        
116,0,dontttt                       
117,0,donttttt                      
118,0,dontttttt                     
119,0,donttttttt                    
120,0,dontttttttt                   
121,0,donttttttttt                  
122,0,dontttttttttt                 
123,0,donttttttttttt                
124,0,dontttttttttttt               
125,0,donttttttttttttt              
126,0,dontttttttttttttt             
127,0,donttttttttttttttt            
128,0,duns                          
129,0,dduns                         
130,0,ddduns                        
131,0,dddduns                       
132,0,ddddduns                      
133,0,dddddduns                     
134,0,ddddddduns                    
135,0,dddddddduns                   
136,0,ddddddddduns                  
137,0,dddddddddduns                 
138,0,ddddddddddduns                
139,0,dddddddddddduns               
140,0,ddddddddddddduns              
141,0,dddddddddddddduns             
142,0,ddddddddddddddduns            
143,0,duuns                         
144,0,duuuns                        
145,0,duuuuns                       
146,0,duuuuuns                      
147,0,duuuuuuns                     
148,0,duuuuuuuns                    
149,0,duuuuuuuuns                   
150,0,duuuuuuuuuns                  
151,0,duuuuuuuuuuns                 
152,0,duuuuuuuuuuuns                
153,0,duuuuuuuuuuuuns               
154,0,duuuuuuuuuuuuuns              
155,0,duuuuuuuuuuuuuuns             
156,0,duuuuuuuuuuuuuuuns            
157,0,dunns                         
158,0,dunnns                        
159,0,dunnnns                       
160,0,dunnnnns                      
161,0,dunnnnnns                     
162,0,dunnnnnnns                    
163,0,dunnnnnnnns                   
164,0,dunnnnnnnnns                  
165,0,dunnnnnnnnnns                 
166,0,dunnnnnnnnnnns                
167,0,dunnnnnnnnnnnns               
